title,price,location,surface,total_pieces,bedrooms,bathrooms,link,ad_id,antenne_parabolique,ascenseur,chambre_rangement,chauffage_central,chemine,climatisation,concierge,cuisine_quipe,double_vitrage,entreseul,faade_extrieure,four,garage,jardin,machine__laver,meubl,microondes,piscine,porte_blinde,rfrigrateur,salon_europen,scurit,terrasse,vue_sur_les_montagnes,vue_sur_mer
S3 en vente,290 000 TND,"Riadh al Andalous, Ariana Ville","127
						m²",N/A,N/A,N/A,https://www.mubawab.tn/fr/a/8018463/s3-en-vente,N/A,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Appartement à Hammamet Nord,Prix à consulter,"Nabeul, Nabeul","183
						m²",2 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8111448/appartement-%C3%A0-hammamet-nord,N/A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Un appartement S2 à vendre Hammamet Nord,240 000 TND,"Hammamet Nord, Hammamet","90
						m²",2 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/7993242/un-appartement-s2-%C3%A0-vendre-hammamet-nord,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A vendre appartement S3 à la marsa,570 000 TND,"Ain Zaghouan Nord, La Marsa","165
						m²",3 Pièces,3 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8117041/a-vendre-appartement-s3-%C3%A0-la-marsa,N/A,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A la vente un S2 à Gammarth,650 000 TND,"Gammarth, La Marsa","113
						m²",2 Pièces,3 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8116935/a-la-vente-un-s2-%C3%A0-gammarth,N/A,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0
Appartement à Hammamet Nord à vendre,450 000 TND,"Hammamet Nord, Hammamet","130
						m²",6 Pièces,2 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/a/7825719/appartement-%C3%A0-hammamet-nord-%C3%A0-vendre,N/A,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0
Appartement S3 au Jardins de l'Aouina,340 000 TND,"Aouina, La Marsa","140
						m²",N/A,3 Chambres,N/A,https://www.mubawab.tn/fr/a/7781170/appartement-s3-au-jardins-de-l-aouina,N/A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A vendre un magnifique S2 avec jardin à Gammarth,850 000 TND,"Gammarth, La Marsa","115
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8116536/a-vendre-un-magnifique-s2-avec-jardin-%C3%A0-gammarth,N/A,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Appartement a vendre s3 mourouj 1 
 ibn jazzar",Prix à consulter,"El Mourouj 1, El Mourouj","130
						m²",1 Pièce,3 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8116446/appartement-a-vendre-s3-mourouj-1-ibn-jazzar,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appartement s1 a vendre,Prix à consulter,"Rejiche, Rejiche","78
						m²",2 Pièces,1 Chambre,1 Salle de bain,https://www.mubawab.tn/fr/a/8098771/appartement-s1-a-vendre,N/A,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
